taxonomy	Av_abun	Log_av_abun	No_Samp	Total_Samp	Perc_occu	sum_DU1	sum_WF	sum_RI	IN_DU1	IN_WF	IN_RI	No_Sites	Site	Gills_Sum	Stomach_Sum	Gills_PA	Stomach_PA	Habitat_sum	Habitat	OTU_Name	Of_interest
k__Bacteria: p__Proteobacteria: c__Gammaproteobacteria: o__Alteromonadales: f__Alteromonadaceae: g__Agarivorans: s__	0.1875	-0.726998728	4	64	0.0625	0	1	3	0	1	1	2	WFRI	3	1	1	1	2	Both	denovo369356	No
k__Bacteria: p__Proteobacteria: c__Gammaproteobacteria: o__Thiotrichales: f__Piscirickettsiaceae: g__: s__	0.0625	-1.204119983	4	64	0.0625	0	1	3	0	1	1	2	WFRI	3	1	1	1	2	Both	denovo498671	No
k__Bacteria: p__Proteobacteria: c__Gammaproteobacteria: o__Alteromonadales: f__: g__: s__	0.09375	-1.028028724	4	64	0.0625	0	1	3	0	1	1	2	WFRI	3	1	1	1	2	Both	denovo534068	No
k__Bacteria: p__Bacteroidetes: c__Flavobacteriia: o__Flavobacteriales: f__Cryomorphaceae: g__: s__	0.078125	-1.10720997	4	64	0.0625	0	1	3	0	1	1	2	WFRI	3	1	1	1	2	Both	denovo538978	No
k__Bacteria: p__Proteobacteria: c__Alphaproteobacteria: o__Sphingomonadales: f__Erythrobacteraceae: g__Citromicrobium: s__	0.109375	-0.961081934	4	64	0.0625	0	3	1	0	1	1	2	WFRI	3	1	1	1	2	Both	denovo636096	No
k__Bacteria: p__Cyanobacteria: c__Oscillatoriophycideae: o__Chroococcales: f__: g__: s__	0.265625	-0.575731053	4	64	0.0625	0	2	2	0	1	1	2	WFRI	3	1	1	1	2	Both	denovo861342	No
k__Bacteria: p__Bacteroidetes: c__Flavobacteriia: o__Flavobacteriales: f__Flavobacteriaceae: g__Aquimarina: s__	0.140625	-0.851937465	4	64	0.0625	0	3	1	0	1	1	2	WFRI	4	0	1	0	1	Gills	denovo36630	No
k__Bacteria: p__Bacteroidetes: c__Flavobacteriia: o__Flavobacteriales: f__Flavobacteriaceae: g__: s__	0.109375	-0.961081934	4	64	0.0625	0	2	2	0	1	1	2	WFRI	4	0	1	0	1	Gills	denovo56840	No
k__Bacteria: p__Proteobacteria: c__Gammaproteobacteria: o__Thiotrichales: f__Piscirickettsiaceae: g__: s__	0.078125	-1.10720997	4	64	0.0625	0	1	3	0	1	1	2	WFRI	4	0	1	0	1	Gills	denovo71458	No
k__Bacteria: p__Bacteroidetes: c__Flavobacteriia: o__Flavobacteriales: f__Flavobacteriaceae: g__Flavobacterium: s__	0.09375	-1.028028724	4	64	0.0625	0	3	1	0	1	1	2	WFRI	4	0	1	0	1	Gills	denovo110454	No
k__Bacteria: p__Proteobacteria: c__Gammaproteobacteria: o__: f__: g__: s__	0.046875	-1.329058719	3	64	0.046875	0	2	1	0	1	1	2	WFRI	1	2	1	1	2	Both	denovo476274	No
k__Bacteria: p__Actinobacteria: c__Actinobacteria: o__Actinomycetales: f__: g__: s__	0.0625	-1.204119983	3	64	0.046875	0	2	1	0	1	1	2	WFRI	1	2	1	1	2	Both	denovo517623	No
k__Bacteria: p__Bacteroidetes: c__Flavobacteriia: o__Flavobacteriales: f__Cryomorphaceae: g__Cryomorpha: s__	0.0625	-1.204119983	3	64	0.046875	0	1	2	0	1	1	2	WFRI	1	2	1	1	2	Both	denovo653523	No
k__Bacteria: p__Bacteroidetes: c__Bacteroidia: o__Bacteroidales: f__: g__: s__	0.0625	-1.204119983	3	64	0.046875	0	1	2	0	1	1	2	WFRI	1	2	1	1	2	Both	denovo690959	No
k__Bacteria: p__Proteobacteria: c__Gammaproteobacteria: o__Chromatiales: f__: g__: s__	0.078125	-1.10720997	3	64	0.046875	0	2	1	0	1	1	2	WFRI	1	2	1	1	2	Both	denovo698087	No
k__Bacteria: p__Planctomycetes: c__Planctomycetia: o__Planctomycetales: f__Planctomycetaceae: g__Planctomyces: s__	0.046875	-1.329058719	3	64	0.046875	0	1	2	0	1	1	2	WFRI	2	1	1	1	2	Both	denovo352795	No
k__Bacteria: p__Bacteroidetes: c__Flavobacteriia: o__Flavobacteriales: f__Cryomorphaceae: g__: s__	0.078125	-1.10720997	3	64	0.046875	0	2	1	0	1	1	2	WFRI	2	1	1	1	2	Both	denovo366745	No
k__Bacteria: p__Bacteroidetes: c__Flavobacteriia: o__Flavobacteriales: f__: g__: s__	0.1875	-0.726998728	3	64	0.046875	0	1	2	0	1	1	2	WFRI	2	1	1	1	2	Both	denovo470019	No
k__Bacteria: p__Proteobacteria: c__Gammaproteobacteria: o__Chromatiales: f__: g__: s__	0.125	-0.903089987	3	64	0.046875	0	2	1	0	1	1	2	WFRI	2	1	1	1	2	Both	denovo484514	No
k__Bacteria: p__Tenericutes: c__Mollicutes: o__: f__: g__: s__	0.0625	-1.204119983	3	64	0.046875	0	1	1	0	1	1	2	WFRI	2	1	1	1	2	Both	denovo541494	No
k__Bacteria: p__Proteobacteria: c__Alphaproteobacteria: o__Sphingomonadales: f__Sphingomonadaceae	0.109375	-0.961081934	3	64	0.046875	0	2	1	0	1	1	2	WFRI	2	1	1	1	2	Both	denovo640284	No
k__Bacteria: p__Planctomycetes: c__Planctomycetia: o__Pirellulales: f__Pirellulaceae: g__: s__	0.125	-0.903089987	3	64	0.046875	0	1	2	0	1	1	2	WFRI	2	1	1	1	2	Both	denovo682476	No
k__Bacteria: p__Proteobacteria: c__Gammaproteobacteria: o__Chromatiales: f__Chromatiaceae: g__: s__	0.140625	-0.851937465	3	64	0.046875	0	1	2	0	1	1	2	WFRI	2	1	1	1	2	Both	denovo770299	No
k__Bacteria: p__Proteobacteria: c__Gammaproteobacteria: o__Alteromonadales: f__HTCC2188: g__: s__	0.078125	-1.10720997	3	64	0.046875	0	2	1	0	1	1	2	WFRI	3	0	1	0	1	Gills	denovo55619	No
k__Bacteria: p__Planctomycetes: c__Planctomycetia: o__Pirellulales: f__Pirellulaceae: g__: s__	0.0625	-1.204119983	3	64	0.046875	0	2	1	0	1	1	2	WFRI	3	0	1	0	1	Gills	denovo66770	No
k__Bacteria: p__Bacteroidetes: c__[Saprospirae]: o__[Saprospirales]: f__Saprospiraceae: g__: s__	0.09375	-1.028028724	3	64	0.046875	0	2	1	0	1	1	2	WFRI	3	0	1	0	1	Gills	denovo220602	No
k__Bacteria: p__Proteobacteria: c__Deltaproteobacteria: o__Myxococcales: f__: g__: s__	0.140625	-0.851937465	2	64	0.03125	0	1	1	0	1	1	2	WFRI	0	2	0	1	1	Stomach	denovo756437	No
k__Bacteria: p__Proteobacteria: c__Epsilonproteobacteria: o__Campylobacterales: f__Helicobacteraceae: g__: s__	0.109375	-0.961081934	2	64	0.03125	0	1	1	0	1	1	2	WFRI	0	2	0	1	1	Stomach	denovo769924	No
k__Bacteria: p__Firmicutes: c__Clostridia: o__Clostridiales: f__Clostridiaceae: g__Caldanaerocella: s__	0.03125	-1.505149978	2	64	0.03125	0	1	1	0	1	1	2	WFRI	0	2	0	1	1	Stomach	denovo841839	No
k__Bacteria: p__Proteobacteria: c__Gammaproteobacteria: o__Legionellales: f__Legionellaceae: g__: s__	0.03125	-1.505149978	2	64	0.03125	0	1	1	0	1	1	2	WFRI	0	2	0	1	1	Stomach	denovo849280	No
k__Bacteria: p__Proteobacteria: c__Gammaproteobacteria: o__Thiotrichales: f__Thiotrichaceae: g__: s__	0.03125	-1.505149978	2	64	0.03125	0	1	1	0	1	1	2	WFRI	0	2	0	1	1	Stomach	denovo861537	No
k__Bacteria: p__Tenericutes: c__Mollicutes: o__: f__: g__: s__	0.03125	-1.505149978	2	64	0.03125	0	1	1	0	1	1	2	WFRI	0	2	0	1	1	Stomach	denovo897227	No
k__Bacteria: p__Cyanobacteria: c__Chloroplast: o__Stramenopiles: f__: g__: s__	0.03125	-1.505149978	2	64	0.03125	0	1	1	0	1	1	2	WFRI	0	2	0	1	1	Stomach	denovo900658	No
k__Bacteria: p__Proteobacteria: c__Gammaproteobacteria: o__Chromatiales: f__: g__: s__	0.078125	-1.10720997	2	64	0.03125	0	1	1	0	1	1	2	WFRI	0	2	0	1	1	Stomach	denovo918801	No
k__Bacteria: p__Bacteroidetes: c__Flavobacteriia: o__Flavobacteriales: f__Cryomorphaceae: g__Cryomorpha: s__	0.046875	-1.329058719	2	64	0.03125	0	1	1	0	1	1	2	WFRI	0	2	0	1	1	Stomach	denovo934535	No
k__Bacteria: p__Verrucomicrobia: c__Verrucomicrobiae: o__Verrucomicrobiales: f__Verrucomicrobiaceae: g__Rubritalea: s__	0.03125	-1.505149978	2	64	0.03125	0	1	1	0	1	1	2	WFRI	1	1	1	1	2	Both	denovo381660	No
k__Bacteria: p__Actinobacteria: c__Actinobacteria: o__Actinomycetales: f__Actinomycetaceae: g__Actinomyces: s__	0.03125	-1.505149978	2	64	0.03125	0	1	1	0	1	1	2	WFRI	1	1	1	1	2	Both	denovo382062	No
k__Bacteria: p__GN02: c__BD1.5: o__: f__: g__: s__	0.03125	-1.505149978	2	64	0.03125	0	1	1	0	1	1	2	WFRI	1	1	1	1	2	Both	denovo388744	No
k__Bacteria: p__Tenericutes: c__Mollicutes: o__: f__: g__: s__	0.03125	-1.505149978	2	64	0.03125	0	1	1	0	1	1	2	WFRI	1	1	1	1	2	Both	denovo414855	No
k__Bacteria: p__Proteobacteria: c__Betaproteobacteria: o__Burkholderiales: f__Comamonadaceae: g__Comamonas: s__	0.046875	-1.329058719	2	64	0.03125	0	1	1	0	1	1	2	WFRI	1	1	1	1	2	Both	denovo429578	No
k__Bacteria: p__Proteobacteria: c__Deltaproteobacteria: o__GMD14H09: f__: g__: s__	0.4375	-0.359021943	2	64	0.03125	0	1	1	0	1	1	2	WFRI	1	1	1	1	2	Both	denovo470982	No
k__Bacteria: p__Bacteroidetes: c__Flavobacteriia: o__Flavobacteriales: f__: g__: s__	0.03125	-1.505149978	2	64	0.03125	0	1	1	0	1	1	2	WFRI	1	1	1	1	2	Both	denovo471711	No
k__Bacteria: p__Proteobacteria: c__Gammaproteobacteria: o__Alteromonadales: f__J115	0.09375	-1.028028724	2	64	0.03125	0	1	1	0	1	1	2	WFRI	1	1	1	1	2	Both	denovo487865	No
k__Bacteria: p__Proteobacteria: c__Gammaproteobacteria: o__Methylococcales	0.0625	-1.204119983	2	64	0.03125	0	1	1	0	1	1	2	WFRI	1	1	1	1	2	Both	denovo488308	No
k__Bacteria: p__Proteobacteria: c__Alphaproteobacteria: o__Kiloniellales: f__: g__: s__	0.03125	-1.505149978	2	64	0.03125	0	1	1	0	1	1	2	WFRI	1	1	1	1	2	Both	denovo502340	No
k__Bacteria: p__Proteobacteria: c__Gammaproteobacteria: o__Oceanospirillales: f__: g__: s__	0.03125	-1.505149978	2	64	0.03125	0	1	1	0	1	1	2	WFRI	1	1	1	1	2	Both	denovo519100	No
k__Bacteria: p__Proteobacteria: c__Deltaproteobacteria: o__Desulfobacterales: f__Desulfobulbaceae: g__Desulfocapsa: s__	0.046875	-1.329058719	2	64	0.03125	0	1	1	0	1	1	2	WFRI	1	1	1	1	2	Both	denovo529049	No
k__Bacteria: p__Bacteroidetes: c__Flavobacteriia: o__Flavobacteriales: f__: g__: s__	0.03125	-1.505149978	2	64	0.03125	0	1	1	0	1	1	2	WFRI	1	1	1	1	2	Both	denovo554086	No
k__Bacteria: p__Bacteroidetes: c__Flavobacteriia: o__Flavobacteriales: f__Cryomorphaceae: g__: s__	0.046875	-1.329058719	2	64	0.03125	0	1	1	0	1	1	2	WFRI	1	1	1	1	2	Both	denovo566481	No
k__Bacteria: p__Bacteroidetes: c__Bacteroidia: o__Bacteroidales: f__: g__: s__	0.125	-0.903089987	2	64	0.03125	0	1	1	0	1	1	2	WFRI	1	1	1	1	2	Both	denovo567707	No
k__Bacteria: p__Spirochaetes: c__[Brachyspirae]: o__[Brachyspirales]: f__Brachyspiraceae: g__: s__	0.03125	-1.505149978	2	64	0.03125	0	1	1	0	1	1	2	WFRI	1	1	1	1	2	Both	denovo571492	No
k__Bacteria: p__Tenericutes: c__Mollicutes: o__: f__: g__: s__	0.03125	-1.505149978	2	64	0.03125	0	1	1	0	1	1	2	WFRI	1	1	1	1	2	Both	denovo592068	No
k__Bacteria: p__Proteobacteria: c__Alphaproteobacteria: o__Rhodobacterales: f__Hyphomonadaceae: g__: s__	0.0625	-1.204119983	2	64	0.03125	0	1	1	0	1	1	2	WFRI	1	1	1	1	2	Both	denovo605582	No
k__Bacteria: p__Bacteroidetes: c__Flavobacteriia: o__Flavobacteriales: f__Flavobacteriaceae: g__: s__	0.03125	-1.505149978	2	64	0.03125	0	1	1	0	1	1	2	WFRI	1	1	1	1	2	Both	denovo630218	No
k__Bacteria: p__Tenericutes: c__Mollicutes: o__: f__: g__: s__	0.03125	-1.505149978	2	64	0.03125	0	1	1	0	1	1	2	WFRI	1	1	1	1	2	Both	denovo636892	No
k__Bacteria: p__Thermotogae: c__Thermotogae: o__Thermotogales: f__Thermotogaceae: g__SC103: s__	0.0625	-1.204119983	2	64	0.03125	0	1	1	0	1	1	2	WFRI	1	1	1	1	2	Both	denovo638001	No
k__Bacteria: p__Tenericutes: c__Mollicutes: o__: f__: g__: s__	0.03125	-1.505149978	2	64	0.03125	0	1	1	0	1	1	2	WFRI	1	1	1	1	2	Both	denovo647995	No
k__Bacteria: p__Firmicutes: c__Clostridia: o__Clostridiales: f__: g__: s__	0.0625	-1.204119983	2	64	0.03125	0	1	1	0	1	1	2	WFRI	1	1	1	1	2	Both	denovo661086	No
k__Bacteria: p__Planctomycetes: c__OM190: o__CL500.15: f__: g__: s__	0.03125	-1.505149978	2	64	0.03125	0	1	1	0	1	1	2	WFRI	1	1	1	1	2	Both	denovo692427	No
k__Bacteria: p__Tenericutes: c__Mollicutes: o__Mycoplasmatales: f__Mycoplasmataceae: g__Mycoplasma: s__	0.03125	-1.505149978	2	64	0.03125	0	1	1	0	1	1	2	WFRI	1	1	1	1	2	Both	denovo698594	No
k__Bacteria: p__GN02: c__BD1.5: o__: f__: g__: s__	0.03125	-1.505149978	2	64	0.03125	0	1	1	0	1	1	2	WFRI	1	1	1	1	2	Both	denovo712765	No
k__Bacteria: p__Proteobacteria: c__Gammaproteobacteria: o__Chromatiales: f__Ectothiorhodospiraceae: g__: s__	0.03125	-1.505149978	2	64	0.03125	0	1	1	0	1	1	2	WFRI	1	1	1	1	2	Both	denovo717712	No
k__Bacteria: p__Bacteroidetes: c__Flavobacteriia: o__Flavobacteriales: f__Flavobacteriaceae: g__: s__	0.078125	-1.10720997	2	64	0.03125	0	1	1	0	1	1	2	WFRI	2	0	1	0	1	Gills	denovo3316	No
k__Bacteria: p__Spirochaetes: c__[Brachyspirae]: o__[Brachyspirales]: f__Brachyspiraceae: g__: s__	0.03125	-1.505149978	2	64	0.03125	0	1	1	0	1	1	2	WFRI	2	0	1	0	1	Gills	denovo80715	No
k__Bacteria: p__Planctomycetes: c__vadinHA49: o__PeHg47: f__: g__: s__	0.03125	-1.505149978	2	64	0.03125	0	1	1	0	1	1	2	WFRI	2	0	1	0	1	Gills	denovo94354	No
k__Bacteria: p__Acidobacteria: c__Sva0725: o__Sva0725: f__: g__: s__	0.03125	-1.505149978	2	64	0.03125	0	1	1	0	1	1	2	WFRI	2	0	1	0	1	Gills	denovo96946	No
k__Bacteria: p__Proteobacteria: c__Gammaproteobacteria: o__Alteromonadales: f__OM60: g__: s__	0.046875	-1.329058719	2	64	0.03125	0	1	1	0	1	1	2	WFRI	2	0	1	0	1	Gills	denovo109550	No
k__Bacteria: p__Tenericutes: c__Mollicutes: o__: f__: g__: s__	0.03125	-1.505149978	2	64	0.03125	0	1	1	0	1	1	2	WFRI	2	0	1	0	1	Gills	denovo115203	No
k__Bacteria: p__Proteobacteria: c__Alphaproteobacteria: o__Rhodobacterales: f__Rhodobacteraceae	0.03125	-1.505149978	2	64	0.03125	0	1	1	0	1	1	2	WFRI	2	0	1	0	1	Gills	denovo139467	No
k__Bacteria: p__Bacteroidetes: c__Flavobacteriia: o__Flavobacteriales: f__Cryomorphaceae	0.03125	-1.505149978	2	64	0.03125	0	1	1	0	1	1	2	WFRI	2	0	1	0	1	Gills	denovo142835	No
k__Bacteria: p__Planctomycetes: c__Planctomycetia: o__Planctomycetales: f__Planctomycetaceae: g__Planctomyces: s__	0.03125	-1.505149978	2	64	0.03125	0	1	1	0	1	1	2	WFRI	2	0	1	0	1	Gills	denovo160891	No
k__Bacteria: p__Proteobacteria: c__Gammaproteobacteria: o__Thiotrichales: f__Piscirickettsiaceae: g__: s__	0.03125	-1.505149978	2	64	0.03125	0	1	1	0	1	1	2	WFRI	2	0	1	0	1	Gills	denovo182263	No
k__Bacteria: p__Bacteroidetes: c__Flavobacteriia: o__Flavobacteriales: f__Cryomorphaceae	0.0625	-1.204119983	2	64	0.03125	0	1	1	0	1	1	2	WFRI	2	0	1	0	1	Gills	denovo198500	No
k__Bacteria: p__Acidobacteria: c__Holophagae: o__Holophagales: f__: g__: s__	0.09375	-1.028028724	2	64	0.03125	0	1	1	0	1	1	2	WFRI	2	0	1	0	1	Gills	denovo222249	No
k__Bacteria: p__GN02: c__BD1.5: o__: f__: g__: s__	0.03125	-1.505149978	2	64	0.03125	0	1	1	0	1	1	2	WFRI	2	0	1	0	1	Gills	denovo224372	No
k__Bacteria: p__Bacteroidetes: c__Cytophagia: o__Cytophagales: f__Flammeovirgaceae: g__: s__	0.03125	-1.505149978	2	64	0.03125	0	1	1	0	1	1	2	WFRI	2	0	1	0	1	Gills	denovo233990	No
k__Bacteria: p__Proteobacteria: c__Gammaproteobacteria: o__Oceanospirillales: f__Endozoicimonaceae: g__: s__	0.0625	-1.204119983	2	64	0.03125	0	1	1	0	1	1	2	WFRI	2	0	1	0	1	Gills	denovo257693	No
k__Bacteria: p__Cyanobacteria: c__Oscillatoriophycideae: o__Chroococcales: f__Xenococcaceae: g__: s__	0.03125	-1.505149978	2	64	0.03125	0	1	1	0	1	1	2	WFRI	2	0	1	0	1	Gills	denovo295720	No
k__Bacteria: p__Cyanobacteria: c__Synechococcophycideae: o__Synechococcales: f__Synechococcaceae: g__Synechococcus: s__	0.03125	-1.505149978	2	64	0.03125	0	1	1	0	1	1	2	WFRI	2	0	1	0	1	Gills	denovo316878	No
k__Bacteria: p__Cyanobacteria: c__Chloroplast: o__Chlorophyta: f__: g__: s__	0.671875	-0.172711518	7	64	0.109375	0	6	0	0	1	0	1	WF	4	3	1	1	2	Both	denovo187942	No
k__Bacteria: p__Cyanobacteria: c__Synechococcophycideae: o__Synechococcales: f__Synechococcaceae: g__Synechococcus: s__	0.21875	-0.660051938	7	64	0.109375	0	6	0	0	1	0	1	WF	4	3	1	1	2	Both	denovo273931	No
k__Bacteria: p__Cyanobacteria: c__Chloroplast: o__Stramenopiles: f__: g__: s__	0.21875	-0.660051938	5	64	0.078125	0	4	0	0	1	0	1	WF	2	3	1	1	2	Both	denovo662063	No
k__Bacteria: p__Cyanobacteria: c__Chloroplast: o__Stramenopiles: f__: g__: s__	0.0625	-1.204119983	4	64	0.0625	0	3	0	0	1	0	1	WF	2	2	1	1	2	Both	denovo657430	No
k__Bacteria: p__Proteobacteria: c__Gammaproteobacteria: o__Alteromonadales: f__: g__: s__	0.140625	-0.851937465	3	64	0.046875	0	2	0	0	1	0	1	WF	1	2	1	1	2	Both	denovo666428	No
k__Bacteria: p__Bacteroidetes: c__Flavobacteriia: o__Flavobacteriales: f__Flavobacteriaceae: g__: s__	0.078125	-1.10720997	3	64	0.046875	0	3	0	0	1	0	1	WF	2	1	1	1	2	Both	denovo572057	No
k__Bacteria: p__Proteobacteria: c__Gammaproteobacteria: o__Alteromonadales: f__Alteromonadaceae	0.203125	-0.692236622	3	64	0.046875	0	3	0	0	1	0	1	WF	2	1	1	1	2	Both	denovo723978	No
k__Bacteria: p__Cyanobacteria: c__Synechococcophycideae: o__Pseudanabaenales: f__Pseudanabaenaceae: g__Halomicronema: s__	0.140625	-0.851937465	3	64	0.046875	0	3	0	0	1	0	1	WF	2	1	1	1	2	Both	denovo726691	No
k__Bacteria: p__Bacteroidetes: c__[Saprospirae]: o__[Saprospirales]: f__Saprospiraceae: g__: s__	0.09375	-1.028028724	3	64	0.046875	0	3	0	0	1	0	1	WF	3	0	1	0	1	Gills	denovo64392	No
k__Bacteria: p__Bacteroidetes: c__Cytophagia: o__Cytophagales: f__[Amoebophilaceae]: g__Candidatus Amoebophilus: s__	0.03125	-1.505149978	2	64	0.03125	0	1	0	0	1	0	1	WF	0	2	0	1	1	Stomach	denovo752198	No
k__Bacteria: p__Tenericutes: c__Mollicutes: o__: f__: g__: s__	0.03125	-1.505149978	2	64	0.03125	0	1	0	0	1	0	1	WF	0	2	0	1	1	Stomach	denovo780821	No
k__Bacteria: p__Tenericutes: c__Mollicutes: o__: f__: g__: s__	0.03125	-1.505149978	2	64	0.03125	0	2	0	0	1	0	1	WF	0	2	0	1	1	Stomach	denovo801900	No
k__Bacteria: p__Proteobacteria: c__Gammaproteobacteria: o__Oceanospirillales: f__Oceanospirillaceae	0.265625	-0.575731053	2	64	0.03125	0	2	0	0	1	0	1	WF	0	2	0	1	1	Stomach	denovo818606	No
k__Bacteria: p__Tenericutes: c__Mollicutes: o__: f__: g__: s__	0.03125	-1.505149978	2	64	0.03125	0	1	0	0	1	0	1	WF	0	2	0	1	1	Stomach	denovo866039	No
k__Bacteria: p__Cyanobacteria: c__Chloroplast: o__Chlorophyta: f__: g__: s__	0.03125	-1.505149978	2	64	0.03125	0	2	0	0	1	0	1	WF	0	2	0	1	1	Stomach	denovo894421	No
k__Bacteria: p__Tenericutes: c__Mollicutes: o__: f__: g__: s__	0.03125	-1.505149978	2	64	0.03125	0	2	0	0	1	0	1	WF	0	2	0	1	1	Stomach	denovo935332	No
k__Bacteria: p__Tenericutes: c__Mollicutes: o__: f__: g__: s__	0.03125	-1.505149978	2	64	0.03125	0	2	0	0	1	0	1	WF	0	2	0	1	1	Stomach	denovo951981	No
k__Bacteria: p__Cyanobacteria: c__Chloroplast: o__Chlorophyta: f__: g__: s__	0.03125	-1.505149978	2	64	0.03125	0	1	0	0	1	0	1	WF	1	1	1	1	2	Both	denovo387292	No
k__Bacteria: p__Bacteroidetes: c__Bacteroidia: o__Bacteroidales: f__Marinilabiaceae: g__: s__	0.03125	-1.505149978	2	64	0.03125	0	2	0	0	1	0	1	WF	1	1	1	1	2	Both	denovo397261	No
k__Bacteria: p__Bacteroidetes: c__Sphingobacteriia: o__Sphingobacteriales: f__: g__: s__	0.03125	-1.505149978	2	64	0.03125	0	2	0	0	1	0	1	WF	1	1	1	1	2	Both	denovo436752	No
k__Bacteria: p__Acidobacteria: c__Sva0725: o__Sva0725: f__: g__: s__	0.03125	-1.505149978	2	64	0.03125	0	2	0	0	1	0	1	WF	1	1	1	1	2	Both	denovo467813	No
k__Bacteria: p__Proteobacteria: c__Gammaproteobacteria: o__Thiotrichales: f__Thiotrichaceae: g__: s__	0.03125	-1.505149978	2	64	0.03125	0	2	0	0	1	0	1	WF	1	1	1	1	2	Both	denovo521964	No
k__Bacteria: p__Actinobacteria: c__Actinobacteria: o__Actinomycetales: f__: g__: s__	0.03125	-1.505149978	2	64	0.03125	0	1	0	0	1	0	1	WF	1	1	1	1	2	Both	denovo544822	No
k__Bacteria: p__Chlamydiae: c__Chlamydiia: o__Chlamydiales: f__Simkaniaceae	0.046875	-1.329058719	2	64	0.03125	0	2	0	0	1	0	1	WF	2	0	1	0	1	Gills	denovo67287	No
k__Bacteria: p__Proteobacteria: c__Deltaproteobacteria: o__Myxococcales: f__Nannocystaceae: g__Plesiocystis: s__	0.03125	-1.505149978	2	64	0.03125	0	2	0	0	1	0	1	WF	2	0	1	0	1	Gills	denovo71533	No
